Name,Firm Name,Ticker,SecId,Inception Date,Morningstar Category,US Category Group,Share Class Type,Oldest Share Class,Inception Date of Fund's Oldest Share Class,Ticker of Fund's Oldest Share Class,Index Fund,Obsolete Date,Obsolete Type,Merged Into Security,Research Flagship Fund Name,Net Assets - Share Class (mo-end) USD,Fund Size Comprehensive (mo-end) USD,Total Ret % Rank Cat 3Y mo-end (mo-end),Morningstar Rating 3Y (mo-end),Morningstar Sustainability Rating (mo-end),Morningstar Analyst Rating (day-end),Morningstar Category Primary Benchmark,Total Return (3Y - mo-end),Alpha Total (excess return) (3Y - mo-end) Cat Curr,Beta Total (excess return) (3Y - mo-end) Cat Curr,Standard Deviation Total (3Y - mo-end) Cat Curr,Sharpe Ratio Total Morningstar (3Y - mo-end) Cat Curr
Oppenheimer Global Environment,,,FOUSA00N6D,19900302,Large Blend,U.S. Equity,,Yes,19900302,,No,19941118,Merged,Oppenheimer Global Emerging Growth A,,"29,800,000.0000000000","29,800,000.0000000000",,,,,S&P 500 TR USD,,,,,
Glenmede Global Equity,ING Funds,,FOUSA00OCE,19971104,World Large Stock,International Equity,,Yes,19971104,,No,20000530,Liquidated,,,"29,756,379.0000000000","29,756,379.0000000000",,,,,MSCI ACWI Ex USA NR USD,,,,,
CitiFunds National Tax-Free Income B,Legg Mason,,FOUSA00OMI,19990104,Muni National Long,Municipal Bond,B,No,19950817,CFNIX,No,20000714,Merged,Legg Mason Partners National Tx-Fr Bd A,,"5,439,001.0000000000","29,753,545.0000000000",,,,,BBgBarc Municipal TR USD,,,,,
Legg Mason Partners National Tx-Fr Bd A,Legg Mason,CFNIX,FOUSA00F80,19950817,Muni National Long,Municipal Bond,A,Yes,19950817,CFNIX,No,20070302,Merged,Western Asset Managed Municipals A,,"27,572,185.0000000000","29,753,545.0000000000",,1 Star,,,BBgBarc Municipal TR USD,,,,,
Legg Mason Partners National Tx-Fr Bd B,Legg Mason,SNABX,FOUSA02V0P,20011012,Muni National Long,Municipal Bond,B,No,19950817,CFNIX,No,20070302,Merged,Western Asset Managed Municipals B,,"1,385,690.0000000000","29,753,545.0000000000",,1 Star,,,BBgBarc Municipal TR USD,,,,,
Legg Mason Partners National Tx-Fr Bd C,Legg Mason,SNALX,FOUSA02V0R,20011119,Muni National Long,Municipal Bond,C,No,19950817,CFNIX,No,20070302,Merged,Western Asset Managed Municipals C,,"549,956.0000000000","29,753,545.0000000000",,2 Stars,,,BBgBarc Municipal TR USD,,,,,
Legg Mason Partners National Tx-Fr Bd O,Legg Mason,SNAOX,FOUSA02V0S,20011119,Muni National Long,Municipal Bond,Other,No,19950817,CFNIX,No,20070302,Merged,Western Asset Managed Municipals I,,"245,714.0000000000","29,753,545.0000000000",,3 Stars,,,BBgBarc Municipal TR USD,,,,,
Delaware Technology and Innovation A,Macquarie Investment Management,,FOUSA00HKV,19991227,Technology,Sector Equity,A,No,19991227,,No,20040326,Merged,Delaware Select Growth A,,"14,901,841.0000000000","29,751,260.0000000000",,,,,MSCI ACWI NR USD,,,,,
Delaware Technology and Innovation B,Macquarie Investment Management,,FOUSA00GYL,19991227,Technology,Sector Equity,B,No,19991227,,No,20040326,Merged,Delaware Select Growth B,,"9,805,746.0000000000","29,751,260.0000000000",,,,,MSCI ACWI NR USD,,,,,
Delaware Technology and Innovation C,Macquarie Investment Management,,FOUSA00G6W,19991227,Technology,Sector Equity,C,No,19991227,,No,20040326,Merged,Delaware Select Growth C,,"3,261,919.0000000000","29,751,260.0000000000",,,,,MSCI ACWI NR USD,,,,,
Delaware Technology and Innovation I,Macquarie Investment Management,,FOUSA00JPR,19991227,Technology,Sector Equity,Inst,Yes,19991227,,No,20040326,Merged,Delaware Select Growth Instl,,"1,781,754.0000000000","29,751,260.0000000000",,,,,MSCI ACWI NR USD,,,,,
Forward Mortgage Securities A,Forward Funds,,FOUSA05BDB,20030929,Intermediate Government,Taxable Bond,A,No,19920518,AMSFX,No,20070620,Liquidated,,,"9,577.0000000000","29,694,161.0000000000",,1 Star,,,BBgBarc US Agg Bond TR USD,," -0.7440000000",0.7220000000,,
SunAmerica Stock Index A,AIG,,FOUSA00IO9,19981102,Large Blend,U.S. Equity,A,Yes,19981102,,Yes,20040220,Liquidated,,,"7,481,584.0000000000","29,665,173.0000000000",,,,,S&P 500 TR USD,,,,,
SunAmerica Stock Index B,AIG,,FOUSA00JOH,19981102,Large Blend,U.S. Equity,B,No,19981102,,Yes,20040220,Liquidated,,,"19,166,560.0000000000","29,665,173.0000000000",,,,,S&P 500 TR USD,,,,,
SunAmerica Stock Index C,AIG,,FOUSA00GDD,20000717,Large Blend,U.S. Equity,C,No,19981102,,Yes,20040220,Liquidated,,,"3,017,029.0000000000","29,665,173.0000000000",,,,,S&P 500 TR USD,,,,,
Strong Insured Municipal Bond,Evergreen Inter Balanced Inco Fund,,FOUSA00NPF,19911125,Muni National Long,Municipal Bond,,Yes,19911125,,No,19960904,Merged,Wells Fargo Advantage Municipal Bond Inv,,"29,652,471.0000000000","29,652,471.0000000000",,,,,BBgBarc Municipal TR USD,,,,,
North American Mid Cap Value A,North American Income Fund PLC,,FOUSA00IHG,19981102,Mid-Cap Value,U.S. Equity,A,Yes,19981102,,No,20011119,Merged,,,"3,332,223.0000000000","29,634,539.0000000000",,,,,S&P 500 TR USD,,,,,
North American Mid Cap Value B,North American Income Fund PLC,,FOUSA00HFG,19981102,Mid-Cap Value,U.S. Equity,B,No,19981102,,No,20011119,Merged,,,"9,956,079.0000000000","29,634,539.0000000000",,,,,S&P 500 TR USD,,,,,
North American Mid Cap Value C,North American Income Fund PLC,,FOUSA00G8D,20000731,Mid-Cap Value,U.S. Equity,C,No,19981102,,No,20011119,Merged,,,"4,433,745.0000000000","29,634,539.0000000000",,,,,S&P 500 TR USD,,,,,
North American Mid Cap Value I,North American Income Fund PLC,,FOUSA00L6R,19981102,Mid-Cap Value,U.S. Equity,Inst,No,19981102,,No,20011119,Merged,,,"11,912,492.0000000000","29,634,539.0000000000",,,,,S&P 500 TR USD,,,,,
Van Eck/Chubb Government Secs A,Chubb Investment Funds Inc,,FOUSA00BOW,19871210,Intermediate Government,Taxable Bond,A,Yes,19871210,,No,20011212,Liquidated,,,"29,585,547.0000000000","29,585,547.0000000000",,,,,BBgBarc US Agg Bond TR USD,," -1.4000000000",1.0260000000,,
Van Eck/Chubb Government Secs B,Chubb Investment Funds Inc,,FOUSA00O1I,19980501,Intermediate Government,Taxable Bond,B,No,19871210,,No,19990616,Liquidated,,,"113,418.0000000000","29,585,547.0000000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Pioneer Strategic Growth A,Pioneer Investments,,FOUSA00EDP,19911206,Large Growth,U.S. Equity,A,Yes,19911206,,No,20050919,Merged,Pioneer Growth Leaders A,,"29,088,930.0000000000","29,535,249.0000000000",,1 Star,,,S&P 500 TR USD,,,,,
Pioneer Strategic Growth B,Pioneer Investments,,FOUSA04BS1,20040223,Large Growth,U.S. Equity,B,No,19911206,,No,20050919,Merged,Pioneer Growth Leaders B,,"168,888.0000000000","29,535,249.0000000000",,,,,S&P 500 TR USD,,,,,
Pioneer Strategic Growth C,Pioneer Investments,,FOUSA04BS5,20040223,Large Growth,U.S. Equity,C,No,19911206,,No,20050919,Merged,Pioneer Growth Leaders C,,"277,431.0000000000","29,535,249.0000000000",,,,,S&P 500 TR USD,,,,,
Pioneer Strategic Growth R,Pioneer Investments,,FOUSA04BS8,20040223,Large Growth,U.S. Equity,Retirement,No,19911206,,No,20050531,Liquidated,,,735.0000000000,"29,535,249.0000000000",,,,,S&P 500 TR USD,,,,,
