Name,Firm Name,Ticker,SecId,Inception Date,Morningstar Category,US Category Group,Share Class Type,Oldest Share Class,Inception Date of Fund's Oldest Share Class,Ticker of Fund's Oldest Share Class,Index Fund,Obsolete Date,Obsolete Type,Merged Into Security,Research Flagship Fund Name,Net Assets - Share Class (mo-end) USD,Fund Size Comprehensive (mo-end) USD,Total Ret % Rank Cat 3Y mo-end (mo-end),Morningstar Rating 3Y (mo-end),Morningstar Sustainability Rating (mo-end),Morningstar Analyst Rating (day-end),Morningstar Category Primary Benchmark,Total Return (3Y - mo-end),Alpha Total (excess return) (3Y - mo-end) Cat Curr,Beta Total (excess return) (3Y - mo-end) Cat Curr,Standard Deviation Total (3Y - mo-end) Cat Curr,Sharpe Ratio Total Morningstar (3Y - mo-end) Cat Curr
Franklin Growth B,Franklin Templeton Investments,FKGBX,FOUSA00JN5,19981231,Large Growth,U.S. Equity,B,No,19480401,FKGRX,No,20130321,Liquidated,,,"287,659.0000000000","17,294,756,007.8000000000",72,2 Stars,,,S&P 500 TR USD,,,,,
Franklin CA Tax-Free Income B,Franklin Templeton Investments,FCABX,FOUSA00GLO,19981231,Muni California Long,Municipal Bond,B,No,19770131,FKTFX,No,20130321,Liquidated,,,"653,169.0000000000","16,948,036,692.0200000000",81,2 Stars,,,BBgBarc Municipal TR USD,,,,,
BlackRock Total Return Inv B2,BlackRock,MJHQX,FOUSA06LDT,20011207,Intermediate Core-Plus Bond,Taxable Bond,B,No,20011207,MPHQX,No,20130610,Merged,BlackRock Total Return Inv A,,"1,390.0000000000","16,773,130,525.9200000000",18,4 Stars,,,BBgBarc US Agg Bond TR USD,,,,,
JHancock3 Disciplined Value ADV,John Hancock,JVLDX,FOUSA0887A,20081222,Large Value,U.S. Equity,Adv,No,19970102,JVLIX,No,20111220,Liquidated,,,"35,902.0000000000","14,602,204,230.2600000000",40,,,,S&P 500 TR USD,,,,,
Mutual Global Discovery B,Franklin Templeton Investments,TEDBX,FOUSA00C21,19981231,World Large Stock,International Equity,B,No,19921231,MDISX,No,20130322,Liquidated,,,"1,285,233.0000000000","14,514,343,937.3800000000",72,3 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
Fidelity Spartan 500 Index Advantage,Fidelity Investments,,FOUSA05CL3,20051014,Large Blend,U.S. Equity,No Load,No,19900306,,Yes,20100122,Merged,Fidelity® 500 Index Premium,,"6,903,956,713.0000000000","13,600,970,504.0000000000",51,3 Stars,,,S&P 500 TR USD,,,,,
Fidelity Spartan 500 Index Investor,Fidelity Investments,,FOUSA00FA3,19900306,Large Blend,U.S. Equity,Inv,Yes,19900306,,Yes,20100122,Merged,Fidelity® 500 Index Investor,,"6,697,013,791.0000000000","13,600,970,504.0000000000",52,3 Stars,,,S&P 500 TR USD,,,,,
American Century Ultra® B,American Century Investments,AULBX,FOUSA06LM6,20070928,Large Growth,U.S. Equity,B,No,19811102,TWCUX,No,20111021,Merged,American Century Ultra® A,,"105,396.0000000000","13,405,107,116.5600000000",35,3 Stars,,,S&P 500 TR USD,,,,,
BlackRock National Municipal Investor B1,BlackRock,BNMDX,F00000M96X,20110715,Muni National Interm,Municipal Bond,Inv,No,19791102,MANLX,No,20130610,Merged,BlackRock National Municipal Inv A,,"250,855.0000000000","13,388,938,112.5100000000",37,,,,BBgBarc Municipal TR USD,,,,,
Fidelity® Diversified International F,Fidelity Investments,FDVFX,F000002M4I,20090626,Foreign Large Growth,International Equity,Inst,No,19911227,FDIVX,No,20111216,Liquidated,,,"122,894,756.0000000000","13,354,628,455.0300000000",43,,,,MSCI ACWI Ex USA NR USD,,,,,
BlackRock Intermediate Municipal Inv B,BlackRock,MBMTX,FOUSA00DS6,19861126,Muni National Interm,Municipal Bond,B,No,19881031,MAMTX,No,20130610,Merged,BlackRock Strategic Muni Opps Inv A1,,"813,004.0000000000","12,609,698,679.7300000000",8,4 Stars,,,BBgBarc Municipal TR USD,,,,,
Fidelity® Capital & Income F,Fidelity Investments,FCLFX,F000002M4N,20090626,High Yield Bond,Taxable Bond,Inst,No,19771101,FAGIX,No,20110314,Liquidated,,,"969,550,546.0000000000","12,484,881,083.2600000000",2,,,,BBgBarc US Agg Bond TR USD,,,,,
Prudential High-Yield L,PGIM Funds (Prudential),,FOUSA06BBU,20070326,High Yield Bond,Taxable Bond,Other,No,19790329,PBHYX,No,20120824,Merged,PGIM High Yield A,,"3,069,388.0000000000","11,877,257,864.6400000000",31,3 Stars,,,BBgBarc US Agg Bond TR USD,,,,,
Prudential High-Yield M,PGIM Funds (Prudential),DHYMX,FOUSA06BBV,20070326,High Yield Bond,Taxable Bond,M,No,19790329,PBHYX,No,20120413,Merged,PGIM High Yield A,,"12,053.0000000000","11,877,257,864.6400000000",70,2 Stars,,,BBgBarc US Agg Bond TR USD,,,,,
Vanguard Tax-Managed Capital App Inv,Vanguard,VMCAX,FOUSA00EZ7,19940906,Large Blend,U.S. Equity,No Load,No,19990224,VTCIX,No,20110513,Merged,Vanguard Tax-Managed Capital App Adm,,"639,221,963.0000000000","11,802,662,440.0000000000",29,3 Stars,,,S&P 500 TR USD,,,,,
Schwab Total Stock Market Index Inv,Schwab Funds,SWTIX,FOUSA00J95,19990601,Large Blend,U.S. Equity,Inv,No,19990601,SWTSX,Yes,20090921,Merged,Schwab Total Stock Market Index,,"508,148,934.0000000000","11,161,870,891.8400000000",41,3 Stars,,,S&P 500 TR USD,,,,,
Templeton Growth B,Franklin Templeton Investments,TMGBX,FOUSA00L4L,19981231,World Large Stock,International Equity,B,No,19541129,TEPLX,No,20130322,Liquidated,,,"2,187,913.0000000000","11,148,054,319.1200000000",53,2 Stars,,,MSCI ACWI Ex USA NR USD,,2.6430000000,1.0020000000,,
Mutual Shares B,Franklin Templeton Investments,FMUBX,FOUSA00KHJ,19981231,Allocation--85%+ Equity,Allocation,B,No,19490701,MUTHX,No,20130322,Liquidated,,,"2,288,252.0000000000","11,132,552,991.5300000000",87,2 Stars,,,Morningstar Mod Tgt Risk TR USD,,,,,
Franklin Federal Tax-Free Income B,Franklin Templeton Investments,FFTBX,FOUSA00K7K,19990104,Muni National Long,Municipal Bond,B,No,19831007,FKTIX,No,20130321,Liquidated,,,"657,692.0000000000","10,983,591,828.0700000000",67,2 Stars,,,BBgBarc Municipal TR USD,,,,,
Franklin DynaTech B,Franklin Templeton Investments,FDNBX,FOUSA02UPB,20000131,Large Growth,U.S. Equity,B,No,19680102,FKDNX,No,20130321,Liquidated,,,"61,208.0000000000","10,648,041,862.5600000000",43,3 Stars,,,S&P 500 TR USD,,,,,
MFS Research International R,MFS,,FOUSA02VWH,20021231,Foreign Large Blend,International Equity,Retirement,No,19970102,MRSIX,No,20080418,Merged,MFS Research International R2,,"53,375,479.0000000000","10,379,928,267.2200000000",,4 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
MFS Research International R2,MFS,,FOUSA05BQR,20050401,Foreign Large Blend,International Equity,Retirement,No,19970102,MRSIX,No,20080418,Merged,MFS Research International R2,,"11,352,802.0000000000","10,379,928,267.2200000000",,,,,MSCI ACWI Ex USA NR USD,,,,,
Principal LargeCap Growth I A,Principal Funds,,FOUSA05C27,20050628,Large Growth,U.S. Equity,A,No,20001206,PLGIX,No,20101112,Liquidated,,,"16,986,670.0000000000","10,263,102,792.0200000000",13,3 Stars,,,S&P 500 TR USD,,,,,
Principal LargeCap Growth I B,Principal Funds,PBAGX,FOUSA05C28,20050628,Large Growth,U.S. Equity,B,No,20001206,PLGIX,No,20101112,Liquidated,,,"1,789,709.0000000000","10,263,102,792.0200000000",24,3 Stars,,,S&P 500 TR USD,,,,,
Principal LargeCap Growth I C,Principal Funds,PLRCX,FOUSA069Y1,20070116,Large Growth,U.S. Equity,C,No,20001206,PLGIX,No,20101112,Liquidated,,,"757,731.0000000000","10,263,102,792.0200000000",16,4 Stars,,,S&P 500 TR USD,,,,,
MFS Mid Cap Value R,MFS,,FOUSA02VW9,20021231,Mid-Cap Value,U.S. Equity,Retirement,No,20010831,MVCAX,No,20080418,Merged,MFS Mid Cap Value R2,,"848,556.0000000000","9,994,201,492.3100000000",,3 Stars,,,S&P 500 TR USD,,,,,
MFS Mid Cap Value R2,MFS,,FOUSA05BSK,20050401,Mid-Cap Value,U.S. Equity,Retirement,No,20010831,MVCAX,No,20080418,Merged,MFS Mid Cap Value R2,,"7,894,506.0000000000","9,994,201,492.3100000000",,,,,S&P 500 TR USD,,,,,
Schwab 1000 Index Sel,Schwab Funds,SNXSX,FOUSA00GN7,19970520,Large Blend,U.S. Equity,Other,No,19910402,SNXFX,Yes,20090921,Merged,Schwab 1000 Index®,,"1,970,405,008.0000000000","9,864,349,242.7800000000",44,3 Stars,,,S&P 500 TR USD,,,,,
JHancock International Growth NAV,John Hancock,GMLNX,FOUSA05I63,20061227,Foreign Large Growth,International Equity,Other,No,20060612,GOIOX,No,20101222,Liquidated,,,"4,465,246.0000000000","9,662,301,928.8000000000",24,4 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
JHancock International Growth R,John Hancock,GOIRX,FOUSA05I7I,20060612,Foreign Large Growth,International Equity,Retirement,No,20060612,GOIOX,No,20090821,Merged,JHancock International Growth A,,"119,476.0000000000","9,662,301,928.8000000000",35,4 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
MFS Mid Cap Growth R,MFS,,FOUSA02VWB,20021231,Mid-Cap Growth,U.S. Equity,Retirement,No,19931201,OTCAX,No,20080418,Merged,MFS Mid Cap Growth R2,,"728,305.0000000000","8,693,019,411.4400000000",,2 Stars,,,S&P 500 TR USD,,,,,
MFS Mid Cap Growth R2,MFS,,FOUSA05BPE,20050401,Mid-Cap Growth,U.S. Equity,Retirement,No,19931201,OTCAX,No,20080418,Merged,MFS Mid Cap Growth R2,,"7,215,743.0000000000","8,693,019,411.4400000000",,,,,S&P 500 TR USD,,,,,
MFS® Massachusetts Inv Gr Stk R,MFS,,FOUSA02VVS,20021231,Large Growth,U.S. Equity,Retirement,No,19350101,MIGFX,No,20080418,Merged,MFS Massachusetts Inv Gr Stk R2,,"5,460,439.0000000000","8,588,724,863.6100000000",,3 Stars,,,S&P 500 TR USD,,,,,
MFS® Massachusetts Inv Gr Stk R2,MFS,,FOUSA05BTJ,20050401,Large Growth,U.S. Equity,Retirement,No,19350101,MIGFX,No,20080418,Merged,MFS Massachusetts Inv Gr Stk R2,,"23,419,125.0000000000","8,588,724,863.6100000000",,,,,S&P 500 TR USD,,,,,
American High-Income Municipal Bond R5,American Funds,RBHFX,FOUSA05G8K,20020715,High Yield Muni,Municipal Bond,Retirement,No,19940926,AMHIX,No,20100426,Liquidated,,,"207,755,838.0000000000","7,865,218,964.0000000000",,3 Stars,,,BBgBarc Municipal TR USD,,,,,
BlackRock Low Duration Bd Inv B1,BlackRock,BLDDX,FOUSA05K38,20061002,Short-Term Bond,Taxable Bond,B,No,19920717,BFMSX,No,20110718,Merged,BlackRock Low Duration Bond Inv A,,"494,687.0000000000","7,793,587,987.4300000000",79,2 Stars,,,BBgBarc US Agg Bond TR USD,,1.9130000000,0.1130000000,,
BlackRock Low Duration Bd Inv B2,BlackRock,CLDDX,FOUSA05K39,20061002,Short-Term Bond,Taxable Bond,B,No,19920717,BFMSX,No,20110718,Merged,BlackRock Low Duration Bond Inv A1,,"2,424,813.0000000000","7,793,587,987.4300000000",71,2 Stars,,,BBgBarc US Agg Bond TR USD,,2.3240000000,0.1080000000,,
BlackRock Low Duration Bd Inv C1,BlackRock,BLDEX,FOUSA05K3A,20061002,Short-Term Bond,Taxable Bond,C,No,19920717,BFMSX,No,20110718,Merged,BlackRock Low Duration Bond Inv A,,"4,843,132.0000000000","7,793,587,987.4300000000",80,2 Stars,,,BBgBarc US Agg Bond TR USD,,1.8800000000,0.1130000000,,
MFS Total Return R,MFS,,FOUSA02VWM,20021231,Allocation--50% to 70% Equity,Allocation,Retirement,No,19701006,MSFRX,No,20080418,Merged,MFS Total Return R2,,"53,173,929.0000000000","7,684,358,313.9300000000",,3 Stars,,,Morningstar Mod Tgt Risk TR USD,,,,,
MFS Total Return R2,MFS,,FOUSA05BT4,20050401,Allocation--50% to 70% Equity,Allocation,Retirement,No,19701006,MSFRX,No,20080418,Merged,MFS Total Return R2,,"178,344,370.0000000000","7,684,358,313.9300000000",,,,,Morningstar Mod Tgt Risk TR USD,,,,,
Fidelity Overseas F,Fidelity Investments,FFOSX,F000002M4E,20090626,Foreign Large Growth,International Equity,Inst,No,19841204,FOSFX,No,20111216,Liquidated,,,"109,680,475.0000000000","7,676,809,136.9700000000",84,,,,MSCI ACWI Ex USA NR USD,,,,,
Morgan Stanley Equally-Wtd S&P 500 W,Invesco,VADWX,FOUSA06SHB,20080331,Large Blend,U.S. Equity,Other,No,19970728,VADDX,Yes,20100601,Merged,Invesco Equally-Wtd S&P 500 A,,"126,259.0000000000","7,645,669,633.7800000000",,,,,S&P 500 TR USD,,,,,
Franklin Utilities B,Franklin Templeton Investments,FRUBX,FOUSA00HID,19981231,Utilities,Sector Equity,B,No,19480930,FKUTX,No,20130321,Liquidated,,,"757,571.0000000000","7,440,872,789.9300000000",31,3 Stars,,,MSCI ACWI NR USD,,,,,
Morgan Stanley Inst Growth H,Morgan Stanley,MSHHX,F00000NYGI,20120430,Large Growth,U.S. Equity,Other,No,19910402,MSEQX,No,20130906,Merged,Morgan Stanley Inst Growth A,,"141,204.0000000000","7,336,381,838.9000000000",16,,,,S&P 500 TR USD,,,,,
MFS International New Discovery R,MFS,,FOUSA02VW7,20021231,Foreign Small/Mid Growth,International Equity,Retirement,No,19971009,MWNIX,No,20080418,Merged,MFS International New Discovery R2,,"29,215,999.0000000000","7,314,555,067.3200000000",,3 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
MFS International New Discovery R2,MFS,,FOUSA05BR0,20050401,Foreign Small/Mid Growth,International Equity,Retirement,No,19971009,MWNIX,No,20080418,Merged,MFS International New Discovery R2,,"31,144,777.0000000000","7,314,555,067.3200000000",,,,,MSCI ACWI Ex USA NR USD,,,,,
MFS Research Bond R,MFS,MRBRX,FOUSA02VWD,20021231,Intermediate Core-Plus Bond,Taxable Bond,Retirement,No,19990104,MRBIX,No,20080418,Merged,MFS Total Return Bond R2,,"6,219,508.0000000000","7,149,118,561.7500000000",,2 Stars,,,BBgBarc US Agg Bond TR USD,,,,,
MFS Research Bond R2,MFS,,FOUSA05BQM,20050401,Intermediate Core-Plus Bond,Taxable Bond,Retirement,No,19990104,MRBIX,No,20080418,Merged,MFS Total Return Bond R2,,"5,374,701.0000000000","7,149,118,561.7500000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Seligman Communications&Information D,Columbia,,FOUSA00DP4,19930503,Technology,Sector Equity,D,No,19830623,SLMCX,No,20080521,Merged,Columbia Seligman Comms & Info C,,"485,688,011.0000000000","6,961,934,700.3700000000",,5 Stars,,,MSCI ACWI NR USD,,,,,
Franklin High Yield Tax-Free Inc B,Franklin Templeton Investments,FYIBX,FOUSA00GNK,19981231,High Yield Muni,Municipal Bond,B,No,19860318,FRHIX,No,20130301,Liquidated,,,"1,495,826.0000000000","6,750,592,211.6800000000",86,1 Star,,,BBgBarc Municipal TR USD,,,,,
MFS Research R,MFS,,FOUSA02VWF,20021231,Large Blend,U.S. Equity,Retirement,No,19711013,MFRFX,No,20080418,Merged,MFS Research R2,,"863,060.0000000000","6,354,796,962.6500000000",,4 Stars,,,S&P 500 TR USD,,,,,
MFS Research R2,MFS,,FOUSA05BS2,20050401,Large Blend,U.S. Equity,Retirement,No,19711013,MFRFX,No,20080418,Merged,MFS Research R2,,"6,759,236.0000000000","6,354,796,962.6500000000",,,,,S&P 500 TR USD,,,,,
Russell Multistrategy Bond A,Russell,,FOUSA06IZM,20070228,Intermediate Core Bond,Taxable Bond,A,No,19930129,,No,20080919,Merged,Russell Inv Strategic Bond A,,"24,405,399.0000000000","6,291,527,306.0000000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Russell Multistrategy Bond C,Russell,,FOUSA00L4B,19990127,Intermediate Core Bond,Taxable Bond,C,No,19930129,,No,20080919,Merged,Russell Inv Strategic Bond C,,"112,634,852.0000000000","6,291,527,306.0000000000",,2 Stars,,,BBgBarc US Agg Bond TR USD,," -3.0750000000",0.8650000000,,
Russell Multistrategy Bond E,Russell,,FOUSA00JYL,19980911,Intermediate Core Bond,Taxable Bond,Other,No,19930129,,No,20080919,Merged,Russell Inv Strategic Bond E,,"118,894,849.0000000000","6,291,527,306.0000000000",,2 Stars,,,BBgBarc US Agg Bond TR USD,," -2.3110000000",0.8680000000,,
Russell Multistrategy Bond S,Russell,,FOUSA00IJZ,19930129,Intermediate Core Bond,Taxable Bond,S,Yes,19930129,,No,20080919,Merged,Russell Inv Strategic Bond S,,"6,035,592,206.0000000000","6,291,527,306.0000000000",,3 Stars,,,BBgBarc US Agg Bond TR USD,," -2.0580000000",0.8630000000,,
Fidelity Series Large Cap Value,Fidelity Investments,FLVSX,FOUSA0863X,20081024,Large Value,U.S. Equity,Inst,Yes,20081024,FLVSX,No,20131108,Liquidated,,,"3,269,257,791.0000000000","6,193,647,869.0000000000",84,2 Stars,,,S&P 500 TR USD,,,,,
Fidelity Series Large Cap Value F,Fidelity Investments,FLVFX,F000002M49,20090626,Large Value,U.S. Equity,Inst,No,20081024,FLVSX,No,20131108,Liquidated,,,"2,924,390,078.0000000000","6,193,647,869.0000000000",81,2 Stars,,,S&P 500 TR USD,,,,,
Fidelity® Equity-Income F,Fidelity Investments,,F000002M4A,20090626,Large Value,U.S. Equity,Inst,No,19660516,FEQIX,No,20101215,Liquidated,,,"80,179,096.0000000000","6,169,339,911.2700000000",66,,,,S&P 500 TR USD,,,,,
MFS® Massachusetts Investors Tr R,MFS,,FOUSA02VVT,20021231,Large Blend,U.S. Equity,Retirement,No,19240715,MITTX,No,20080418,Merged,MFS Massachusetts Investors Tr R2,,"3,673,584.0000000000","6,073,228,205.3200000000",,4 Stars,,,S&P 500 TR USD,,,,,
MFS® Massachusetts Investors Tr R2,MFS,,FOUSA05BP1,20050401,Large Blend,U.S. Equity,Retirement,No,19240715,MITTX,No,20080418,Merged,MFS Massachusetts Investors Tr R2,,"4,154,611.0000000000","6,073,228,205.3200000000",,,,,S&P 500 TR USD,,,,,
Vanguard Inst Developed Markets Index,Vanguard,,FOUSA00IOM,20000601,Foreign Large Blend,International Equity,Inst,Yes,20000601,,Yes,20100122,Merged,Vanguard Developed Markets Index I,,"5,767,795,047.0000000000","5,767,795,047.0000000000",,3 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
Loomis Sayles Investment Grade Bond J,Natixis Funds,LIGJX,FOUSA02TFF,19990524,Intermediate Core-Plus Bond,Taxable Bond,Retirement,No,19961231,LSIIX,No,20120111,Liquidated,,,"24,013,079.0000000000","5,671,381,387.3200000000",9,,,,BBgBarc US Agg Bond TR USD,,,,,
Schwab International Index Inv,Schwab Funds,SWINX,FOUSA00DTP,19930909,Foreign Large Blend,International Equity,Inv,No,19970519,SWISX,Yes,20090824,Liquidated,,,"494,547,659.0000000000","5,631,600,147.0700000000",42,3 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
Columbia Strategic Income J,Columbia,CLSJX,FOUSA00I2J,19981030,Nontraditional Bond,Taxable Bond,Retirement,No,19770421,COSIX,No,20090727,Liquidated,,,"31,669,614.0000000000","5,626,904,497.6800000000",22,3 Stars,,,BBgBarc US Agg Bond TR USD,," -2.6650000000",1.0640000000,,
Schwab Fdmtl US Lg Co Idx TM Inv,Schwab Funds,SFLVX,FOUSA06BY8,20070402,Large Value,U.S. Equity,Inv,No,20070402,SFLNX,Yes,20091028,Merged,Schwab Fundamental US Large Company Idx,,"43,325,091.0000000000","5,319,475,459.0900000000",,,,,S&P 500 TR USD,,,,,
Schwab Fdmtl US Lg Co Idx TM Sel,Schwab Funds,SFLSX,FOUSA06BY9,20070402,Large Value,U.S. Equity,S,No,20070402,SFLNX,Yes,20091028,Merged,Schwab Fundamental US Large Company Idx,,"75,745,011.0000000000","5,319,475,459.0900000000",,,,,S&P 500 TR USD,,,,,
Fidelity High Income F,Fidelity Investments,FHFFX,F000002M4Q,20090626,High Yield Bond,Taxable Bond,Inst,No,19900829,SPHIX,No,20110314,Liquidated,,,"996,870,989.0000000000","5,288,775,520.0800000000",15,,,,BBgBarc US Agg Bond TR USD,,,,,
Franklin Total Return B,Franklin Templeton Investments,FBTLX,FOUSA04ARX,20020301,Intermediate Core-Plus Bond,Taxable Bond,B,No,19980803,FBDAX,No,20130301,Liquidated,,,"929,915.0000000000","5,241,870,095.3700000000",32,3 Stars,,,BBgBarc US Agg Bond TR USD,,,,,
JPMorgan Diversified Mid Cap Gr Ultra,JPMorgan,JDGUX,FOUSA05BGX,20050222,Mid-Cap Growth,U.S. Equity,Other,No,19890302,HLGEX,No,20090522,Liquidated,,,"2,679,256.0000000000","4,996,235,231.5900000000",,3 Stars,,,S&P 500 TR USD,,,,,
MFS® Bond R,MFS,MFBRX,FOUSA02VVU,20021231,Corporate Bond,Taxable Bond,Retirement,No,19740508,MFBFX,No,20080418,Merged,MFS Corporate Bond R2,,"20,198,188.0000000000","4,976,682,886.0300000000",,2 Stars,,,BBgBarc US Agg Bond TR USD,," -1.8190000000",0.8350000000,,
MFS® Bond R2,MFS,,FOUSA05BOP,20050401,Corporate Bond,Taxable Bond,Retirement,No,19740508,MFBFX,No,20080418,Merged,MFS Corporate Bond R2,,"7,618,504.0000000000","4,976,682,886.0300000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Hartford Growth Opportunities L,Hartford Mutual Funds,,FOUSA00EV6,19630401,Large Growth,U.S. Equity,Other,No,20020219,HGOYX,No,20110805,Merged,Hartford Growth Opportunities A,,"445,635,282.0000000000","4,925,533,343.3300000000",,1 Star,,,S&P 500 TR USD,,,,,
Franklin US Government Secs B,Franklin Templeton Investments,FUGBX,FOUSA00GNU,19981231,Intermediate Government,Taxable Bond,B,No,19700529,FKUSX,No,20130321,Liquidated,,,"1,341,756.0000000000","4,887,013,046.5600000000",79,2 Stars,,,BBgBarc US Agg Bond TR USD,,0.3340000000,0.5980000000,,
