Name,Firm Name,Ticker,SecId,Inception Date,Morningstar Category,US Category Group,Share Class Type,Oldest Share Class,Inception Date of Fund's Oldest Share Class,Ticker of Fund's Oldest Share Class,Index Fund,Obsolete Date,Obsolete Type,Merged Into Security,Research Flagship Fund Name,Net Assets - Share Class (mo-end) USD,Fund Size Comprehensive (mo-end) USD,Total Ret % Rank Cat 3Y mo-end (mo-end),Morningstar Rating 3Y (mo-end),Morningstar Sustainability Rating (mo-end),Morningstar Analyst Rating (day-end),Morningstar Category Primary Benchmark,Total Return (3Y - mo-end),Alpha Total (excess return) (3Y - mo-end) Cat Curr,Beta Total (excess return) (3Y - mo-end) Cat Curr,Standard Deviation Total (3Y - mo-end) Cat Curr,Sharpe Ratio Total Morningstar (3Y - mo-end) Cat Curr
Franklin Income B,Franklin Templeton Investments,FBICX,FOUSA00GPV,19981231,Allocation--30% to 50% Equity,Allocation,B,No,19480831,FKINX,No,20130321,Liquidated,,,"25,256,733.0000000000","74,912,506,341.3000000000",13,4 Stars,,,Morningstar Mod Tgt Risk TR USD,,,,,
Franklin Income B1,Franklin Templeton Investments,FICBX,FOUSA02W69,19981231,Allocation--30% to 50% Equity,Allocation,B,No,19480831,FKINX,No,20130321,Liquidated,,,"281,344.0000000000","74,912,506,341.3000000000",10,4 Stars,,,Morningstar Mod Tgt Risk TR USD,,,,,
Prudential Total Return Bond L,PGIM Funds (Prudential),DTRLX,FOUSA06BBB,20070305,Intermediate Core-Plus Bond,Taxable Bond,Other,No,19950110,PDBAX,No,20120824,Merged,PGIM Total Return Bond A,,"8,453,881.0000000000","54,904,512,696.7800000000",14,4 Stars,,,BBgBarc US Agg Bond TR USD,,,,,
Prudential Total Return Bond M,PGIM Funds (Prudential),DTRMX,FOUSA06BBA,20070305,Intermediate Core-Plus Bond,Taxable Bond,M,No,19950110,PDBAX,No,20120413,Merged,PGIM Total Return Bond A,,"16,009.0000000000","54,904,512,696.7800000000",22,4 Stars,,,BBgBarc US Agg Bond TR USD,,,,,
MFS Value R,MFS,,FOUSA02VWO,20021231,Large Value,U.S. Equity,Retirement,No,19960102,MEIAX,No,20080418,Merged,MFS Value R2,,"54,870,117.0000000000","50,745,688,902.7200000000",,4 Stars,,,S&P 500 TR USD,,,,,
MFS Value R2,MFS,,FOUSA05BT8,20050401,Large Value,U.S. Equity,Retirement,No,19960102,MEIAX,No,20080418,Merged,MFS Value R2,,"26,668,453.0000000000","50,745,688,902.7200000000",,,,,S&P 500 TR USD,,,,,
Fidelity Growth Company F,Fidelity Investments,FGRFX,F000002M53,20090626,Large Growth,U.S. Equity,Inst,No,19830117,FDGRX,No,20131119,Liquidated,,,"5,102,063,732.0000000000","44,329,847,674.2500000000",3,5 Stars,,,S&P 500 TR USD,,,,,
Schwab S&P 500 Index eShare,Schwab Funds,SWPEX,FOUSA00IRZ,19960501,Large Blend,U.S. Equity,No Load,No,19970519,SWPPX,Yes,20090910,Merged,Schwab® S&P 500 Index,,"166,903,394.0000000000","43,664,066,217.6100000000",48,3 Stars,,,S&P 500 TR USD,,,,,
Schwab S&P 500 Index Inv,Schwab Funds,SWPIX,FOUSA00KFP,19960501,Large Blend,U.S. Equity,Inv,No,19970519,SWPPX,Yes,20090910,Merged,Schwab® S&P 500 Index,,"2,674,502,184.0000000000","43,664,066,217.6100000000",51,3 Stars,,,S&P 500 TR USD,,,,,
Fidelity® Blue Chip Growth F,Fidelity Investments,FBCFX,F000002M59,20090626,Large Growth,U.S. Equity,Inst,No,19871231,FBGRX,No,20131119,Liquidated,,,"4,160,886,067.0000000000","30,438,486,895.6900000000",8,4 Stars,,,S&P 500 TR USD,,,,,
Fidelity® Total Bond F,Fidelity Investments,FTLFX,F000002M5A,20090626,Intermediate Core-Plus Bond,Taxable Bond,Inst,No,20021015,FTBFX,No,20100930,Liquidated,,,"13,093,731.0000000000","27,802,940,214.0600000000",30,,,,BBgBarc US Agg Bond TR USD,,,,,
MFS Growth R,MFS,,FOUSA02VVZ,20021231,Large Growth,U.S. Equity,Retirement,No,19861229,MEGBX,No,20080418,Merged,MFS Growth R2,,"3,091,368.0000000000","26,723,848,166.3500000000",,5 Stars,,,S&P 500 TR USD,,,,,
MFS Growth R2,MFS,,FOUSA05BNZ,20050401,Large Growth,U.S. Equity,Retirement,No,19861229,MEGBX,No,20080418,Merged,MFS Growth R2,,"24,611,969.0000000000","26,723,848,166.3500000000",,,,,S&P 500 TR USD,,,,,
American Funds Tax-Exempt Bond R5,American Funds,RTAFX,FOUSA02VGK,20020715,Muni National Interm,Municipal Bond,Retirement,No,19791003,AFTEX,No,20100426,Liquidated,,,"128,502,864.0000000000","23,578,103,378.0000000000",,2 Stars,,,BBgBarc Municipal TR USD,,,,,
Franklin Rising Dividends B,Franklin Templeton Investments,FRDBX,FOUSA00G3M,19981231,Large Blend,U.S. Equity,B,No,19870114,FRDPX,No,20130321,Liquidated,,,"1,191,392.0000000000","21,854,219,094.0900000000",16,4 Stars,,,S&P 500 TR USD,,,,,
JHancock Bond R1,John Hancock,JHBRX,FOUSA04B72,20030805,Intermediate Core-Plus Bond,Taxable Bond,Retirement,No,19731109,JHNBX,No,20090821,Merged,JHancock Bond A,,"900,445.0000000000","18,903,205,734.9800000000",68,2 Stars,,,BBgBarc US Agg Bond TR USD,,,,,
JPMorgan Large Cap Growth Ultra,JPMorgan,JLGUX,FOUSA05BGV,20050222,Large Growth,U.S. Equity,Other,No,19920228,SEEGX,No,20081028,Liquidated,,,"2,812,491.0000000000","18,504,994,174.8200000000",,4 Stars,,,S&P 500 TR USD,,,,,
