Name,Firm Name,Ticker,SecId,Inception Date,Morningstar Category,US Category Group,Share Class Type,Oldest Share Class,Inception Date of Fund's Oldest Share Class,Ticker of Fund's Oldest Share Class,Index Fund,Obsolete Date,Obsolete Type,Merged Into Security,Research Flagship Fund Name,Net Assets - Share Class (mo-end) USD,Fund Size Comprehensive (mo-end) USD,Total Ret % Rank Cat 3Y mo-end (mo-end),Morningstar Rating 3Y (mo-end),Morningstar Sustainability Rating (mo-end),Morningstar Analyst Rating (day-end),Morningstar Category Primary Benchmark,Total Return (3Y - mo-end),Alpha Total (excess return) (3Y - mo-end) Cat Curr,Beta Total (excess return) (3Y - mo-end) Cat Curr,Standard Deviation Total (3Y - mo-end) Cat Curr,Sharpe Ratio Total Morningstar (3Y - mo-end) Cat Curr
Fidelity® 500 Index Institutional,Fidelity Investments,FXSIX,F00000LZSH,20110504,Large Blend,U.S. Equity,Inst,No,20110504,FXAIX,Yes,20181102,Merged,Fidelity® 500 Index,Fidelity® 500 Index Premium,"6,914,439,727.5600000000","236,283,147,715.9000000000",12,5 Stars,Average,,S&P 500 TR USD,,,,,
Fidelity® 500 Index Investor,Fidelity Investments,FUSEX,FOUSA00CJW,19880217,Large Blend,U.S. Equity,Inv,No,20110504,FXAIX,Yes,20181102,Merged,Fidelity® 500 Index,Fidelity® 500 Index Premium,"3,610,377,562.4800000000","236,283,147,715.9000000000",14,4 Stars,Average,,S&P 500 TR USD,,,,,
Fidelity® 500 Index Premium,Fidelity Investments,FUSVX,FOUSA05CL7,20051014,Large Blend,U.S. Equity,Other,No,20110504,FXAIX,Yes,20181102,Merged,Fidelity® 500 Index,Fidelity® 500 Index Premium,"61,740,899,194.5300000000","236,283,147,715.9000000000",12,4 Stars,Average,,S&P 500 TR USD,,,,,
American Funds Growth Fund of Amer 529B,American Funds,,FOUSA02UYJ,20020215,Large Growth,U.S. Equity,B,No,19731130,AGTHX,No,20170410,Merged,American Funds Growth Fund of Amer 529A,,"3,430,927.0000000000","200,720,784,202.0000000000",42,3 Stars,,,S&P 500 TR USD,,,,,
American Funds Growth Fund of Amer B,American Funds,,FOUSA00IHI,20000315,Large Growth,U.S. Equity,B,No,19731130,AGTHX,No,20170410,Merged,American Funds Growth Fund of Amer A,,"25,419,389.0000000000","200,720,784,202.0000000000",39,3 Stars,,,S&P 500 TR USD,,,,,
American Funds Europacific Growth 529B,American Funds,,FOUSA02UVR,20020219,Foreign Large Growth,International Equity,B,No,19840416,AEPGX,No,20170410,Merged,American Funds Europacific Growth 529A,,"377,778.0000000000","165,470,940,454.0000000000",54,3 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
American Funds Europacific Growth B,American Funds,,FOUSA00JGR,20000315,Foreign Large Growth,International Equity,B,No,19840416,AEPGX,No,20170410,Merged,American Funds Europacific Growth A,,"3,853,442.0000000000","165,470,940,454.0000000000",50,3 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
American Funds American Balanced 529B,American Funds,,FOUSA02UTZ,20020215,Allocation--50% to 70% Equity,Allocation,B,No,19750725,ABALX,No,20170410,Merged,American Funds American Balanced 529A,,"1,562,586.0000000000","161,111,915,094.0000000000",13,4 Stars,,,Morningstar Mod Tgt Risk TR USD,,,,,
American Funds American Balanced B,American Funds,,FOUSA00HP6,20000315,Allocation--50% to 70% Equity,Allocation,B,No,19750725,ABALX,No,20170410,Merged,American Funds American Balanced A,,"18,139,131.0000000000","161,111,915,094.0000000000",12,4 Stars,,,Morningstar Mod Tgt Risk TR USD,,,,,
Vanguard Total Stock Mkt Idx Signal,Vanguard,VTSSX,FOUSA05IV5,20060901,Large Blend,U.S. Equity,Other,No,19920427,VTSMX,Yes,20141024,Merged,Vanguard Total Stock Mkt Idx Adm,,"7,295,283,601.0000000000","140,702,167,244.4340000000",28,4 Stars,,,S&P 500 TR USD,,,,,
PIMCO Income D,PIMCO,PONDX,FOUSA069X8,20070330,Multisector Bond,Taxable Bond,D,No,20070330,PIMIX,No,20180323,Merged,PIMCO Income A,,"13,821,199,024.0000000000","133,958,512,761.4500000000",4,5 Stars,,,BBgBarc US Agg Bond TR USD,,4.6630000000,0.3450000000,,
Vanguard 500 Index Signal,Vanguard,VIFSX,FOUSA05U3K,20060929,Large Blend,U.S. Equity,Other,No,19760831,VFINX,Yes,20141024,Merged,Vanguard 500 Index Admiral,,"19,786,735,873.0000000000","132,425,314,191.9890000000",30,4 Stars,,,S&P 500 TR USD,,,,,
American Funds Washington Mutual 529B,American Funds,,FOUSA02UYE,20020219,Large Blend,U.S. Equity,B,No,19520731,AWSHX,No,20170410,Merged,American Funds Washington Mutual 529A,,"749,953.0000000000","126,654,349,498.0000000000",38,3 Stars,,,S&P 500 TR USD,,,,,
American Funds Washington Mutual B,American Funds,,FOUSA00HN8,20000315,Large Blend,U.S. Equity,B,No,19520731,AWSHX,No,20170410,Merged,American Funds Washington Mutual A,,"6,479,432.0000000000","126,654,349,498.0000000000",35,3 Stars,,,S&P 500 TR USD,,,,,
American Funds Income Fund of Amer 529B,American Funds,,FOUSA02UYN,20020219,Allocation--70% to 85% Equity,Allocation,B,No,19731130,AMECX,No,20170410,Merged,American Funds Income Fund of Amer 529A,,"529,830.0000000000","114,822,145,217.0000000000",36,4 Stars,,,Morningstar Mod Tgt Risk TR USD,,,,,
American Funds Income Fund of Amer B,American Funds,,FOUSA00JNK,20000315,Allocation--70% to 85% Equity,Allocation,B,No,19731130,AMECX,No,20170410,Merged,American Funds Income Fund of Amer A,,"11,320,208.0000000000","114,822,145,217.0000000000",31,4 Stars,,,Morningstar Mod Tgt Risk TR USD,,,,,
American Funds Capital Income Bldr 529B,American Funds,,FOUSA02UVF,20020215,World Allocation,Allocation,B,No,19870730,CAIBX,No,20170410,Merged,American Funds Capital Income Bldr 529A,,"976,937.0000000000","107,717,888,459.0000000000",23,4 Stars,,,Morningstar Mod Tgt Risk TR USD,,,,,
American Funds Capital Income Bldr B,American Funds,,FOUSA00IUV,20000315,World Allocation,Allocation,B,No,19870730,CAIBX,No,20170410,Merged,American Funds Capital Income Bldr A,,"14,073,799.0000000000","107,717,888,459.0000000000",19,4 Stars,,,Morningstar Mod Tgt Risk TR USD,,,,,
American Funds Fundamental Invs 529B,American Funds,,FOUSA02UVV,20020219,Large Blend,U.S. Equity,B,No,19780801,ANCFX,No,20170410,Merged,American Funds Fundamental Invs 529A,,"616,254.0000000000","106,706,939,337.0000000000",29,3 Stars,,,S&P 500 TR USD,,,,,
American Funds Fundamental Invs B,American Funds,,FOUSA00JKZ,20000315,Large Blend,U.S. Equity,B,No,19780801,ANCFX,No,20170410,Merged,American Funds Fundamental Invs A,,"9,505,517.0000000000","106,706,939,337.0000000000",27,4 Stars,,,S&P 500 TR USD,,,,,
American Funds Invmt Co of Amer 529B,American Funds,,FOUSA02UY0,20020215,Large Blend,U.S. Equity,B,No,19340102,AIVSX,No,20170410,Merged,American Funds Invmt Co of Amer 529A,,"1,237,336.0000000000","101,133,084,661.0000000000",53,3 Stars,,,S&P 500 TR USD,,,,,
American Funds Invmt Co of Amer B,American Funds,,FOUSA00INU,20000315,Large Blend,U.S. Equity,B,No,19340102,AIVSX,No,20170410,Merged,American Funds Invmt Co of Amer A,,"11,333,752.0000000000","101,133,084,661.0000000000",50,3 Stars,,,S&P 500 TR USD,,,,,
American Funds Capital World Gr&Inc 529B,American Funds,,FOUSA02UVN,20020221,World Large Stock,International Equity,B,No,19930326,CWGIX,No,20170410,Merged,American Funds Capital World Gr&Inc 529A,,"1,457,618.0000000000","100,553,214,290.0000000000",58,3 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
American Funds Capital World Gr&Inc B,American Funds,,FOUSA00KAW,20000315,World Large Stock,International Equity,B,No,19930326,CWGIX,No,20170410,Merged,American Funds Capital World Gr&Inc A,,"14,735,742.0000000000","100,553,214,290.0000000000",56,3 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
American Funds New Perspective 529B,American Funds,,FOUSA02UXL,20020215,World Large Stock,International Equity,B,No,19730313,ANWPX,No,20170410,Merged,American Funds New Perspective 529A,,"532,586.0000000000","97,839,554,393.0000000000",24,4 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
American Funds New Perspective B,American Funds,,FOUSA00ISZ,20000315,World Large Stock,International Equity,B,No,19730313,ANWPX,No,20170410,Merged,American Funds New Perspective A,,"5,159,497.0000000000","97,839,554,393.0000000000",21,4 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
Franklin Income M,Franklin Templeton Investments,,F0000101YX,20180201,Allocation--30% to 50% Equity,Allocation,M,No,19480831,FKINX,No,20180608,Liquidated,,,,"74,912,506,341.3000000000",44,,,,Morningstar Mod Tgt Risk TR USD,,,,,
American Funds AMCAP 529B,American Funds,,FOUSA02UTV,20020219,Large Growth,U.S. Equity,B,No,19670501,AMCPX,No,20170410,Merged,American Funds AMCAP 529A,,"477,900.0000000000","69,531,698,320.0000000000",73,2 Stars,,,S&P 500 TR USD,,,,,
American Funds AMCAP B,American Funds,,FOUSA00IB2,20000315,Large Growth,U.S. Equity,B,No,19670501,AMCPX,No,20170410,Merged,American Funds AMCAP A,,"4,293,109.0000000000","69,531,698,320.0000000000",71,2 Stars,,,S&P 500 TR USD,,,,,
PIMCO Total Return B,PIMCO,PTTBX,FOUSA00G68,19970113,Intermediate Core-Plus Bond,Taxable Bond,B,No,19870511,PTTRX,No,20150325,Merged,PIMCO Total Return A,,"26,079,134.0000000000","67,096,164,564.5900000000",67,2 Stars,,,BBgBarc US Agg Bond TR USD,,,,,
PIMCO Total Return D,PIMCO,PTTDX,FOUSA00IZL,19980408,Intermediate Core-Plus Bond,Taxable Bond,D,No,19870511,PTTRX,No,20180323,Merged,PIMCO Total Return A,,"3,825,067,315.0000000000","67,096,164,564.5900000000",44,3 Stars,,,BBgBarc US Agg Bond TR USD,,,,,
Vanguard Emerging Mkts Stock Idx Signal,Vanguard,VERSX,FOUSA05JBN,20070119,Diversified Emerging Mkts,International Equity,Other,No,19940504,VEIEX,Yes,20141024,Merged,Vanguard Emerging Mkts Stock Idx Adm,,"762,252,078.0000000000","63,694,575,714.4708000000",50,3 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
American Funds American Mutual 529B,American Funds,,FOUSA02UVB,20020219,Large Value,U.S. Equity,B,No,19500221,AMRMX,No,20170410,Merged,American Funds American Mutual 529A,,"233,317.0000000000","62,533,774,595.0000000000",45,3 Stars,,,S&P 500 TR USD,,,,,
American Funds American Mutual B,American Funds,,FOUSA00B8P,20000315,Large Value,U.S. Equity,B,No,19500221,AMRMX,No,20170410,Merged,American Funds American Mutual A,,"3,284,545.0000000000","62,533,774,595.0000000000",42,3 Stars,,,S&P 500 TR USD,,,,,
Lord Abbett Short Duration Income B,Lord Abbett,LLTBX,FOUSA04ANT,20030502,Short-Term Bond,Taxable Bond,B,No,19931104,LALDX,No,20180425,Liquidated,,Lord Abbett Short Duration Income I,"694,990.0000000000","57,422,983,708.0000000000",50,3 Stars,,,BBgBarc US Agg Bond TR USD,,0.2920000000,0.2060000000,,
Lord Abbett Short Duration Income T,Lord Abbett,LDITX,F00000YRD7,20170728,Short-Term Bond,Taxable Bond,T,No,19931104,LALDX,No,20180724,Liquidated,,,"10,036.0000000000","57,422,983,708.0000000000",18,,,,BBgBarc US Agg Bond TR USD,,,,,
Prudential Total Return Bond X,PGIM Funds (Prudential),,FOUSA06BBC,20070305,Intermediate Core-Plus Bond,Taxable Bond,Other,No,19950110,PDBAX,No,20140411,Merged,PGIM Total Return Bond A,,"8,171.0000000000","54,904,512,696.7800000000",9,3 Stars,,,BBgBarc US Agg Bond TR USD,,,,,
Vanguard Value Index Signal,Vanguard,VVISX,FOUSA05IVB,20070604,Large Value,U.S. Equity,Other,No,19921102,VIVAX,Yes,20141024,Merged,Vanguard Value Index Adm,,"1,480,887,120.0000000000","54,762,741,692.8771000000",28,4 Stars,,,S&P 500 TR USD,,,,,
American Funds Bond Fund of Amer 529B,American Funds,,FOUSA02UU3,20020215,Intermediate Core Bond,Taxable Bond,B,No,19740528,ABNDX,No,20170410,Merged,American Funds Bond Fund of Amer 529A,,"245,050.0000000000","52,230,865,134.0000000000",88,2 Stars,,,BBgBarc US Agg Bond TR USD,," -1.0400000000",0.9980000000,,
American Funds Bond Fund of Amer B,American Funds,,FOUSA00HJO,20000315,Intermediate Core Bond,Taxable Bond,B,No,19740528,ABNDX,No,20170410,Merged,American Funds Bond Fund of Amer A,,"4,317,682.0000000000","52,230,865,134.0000000000",83,2 Stars,,,BBgBarc US Agg Bond TR USD,," -0.6760000000",0.9970000000,,
Vanguard Total Bond Market Index Signal,Vanguard,VBTSX,FOUSA05J1A,20060901,Intermediate Core Bond,Taxable Bond,Other,No,19861211,VBMFX,Yes,20141024,Merged,Vanguard Total Bond Market Index Adm,,"4,535,985,250.0000000000","51,596,184,499.3600000000",78,2 Stars,,,BBgBarc US Agg Bond TR USD,," -0.1400000000",1.0120000000,,
Fidelity® Total Market Index F,Fidelity Investments,FFSMX,F000002YVA,20090924,Large Blend,U.S. Equity,Other,No,20110908,FSKAX,Yes,20190426,Liquidated,,Fidelity® Total Market Index,"15,871,844,316.6100000000","50,057,477,639.9700000000",16,4 Stars,Below Average,Gold,S&P 500 TR USD,13.4786220000," -0.3650000000",1.0320000000,11.1180000000,1.0800000000
Fidelity® Total Market Index Instl,Fidelity Investments,FSKTX,F00000MJRZ,20110908,Large Blend,U.S. Equity,Inst,No,20110908,FSKAX,Yes,20181102,Merged,Fidelity® Total Market Index,Fidelity® Total Market Index Premium,"1,609,080,429.5800000000","50,057,477,639.9700000000",22,4 Stars,Below Average,,S&P 500 TR USD,,,,,
Fidelity® Total Market Index Investor,Fidelity Investments,FSTMX,FOUSA00HVE,19971105,Large Blend,U.S. Equity,Inv,No,20110908,FSKAX,Yes,20181102,Merged,Fidelity® Total Market Index,Fidelity® Total Market Index Premium,"791,699,631.3900000000","50,057,477,639.9700000000",24,4 Stars,Below Average,,S&P 500 TR USD,,,,,
Fidelity® Total Market Index Premium,Fidelity Investments,FSTVX,FOUSA05CL6,20051014,Large Blend,U.S. Equity,Other,No,20110908,FSKAX,Yes,20181102,Merged,Fidelity® Total Market Index,Fidelity® Total Market Index Premium,"25,581,668,606.7400000000","50,057,477,639.9700000000",23,4 Stars,Below Average,,S&P 500 TR USD,,,,,
Vanguard Growth Index Signal,Vanguard,VIGSX,FOUSA05IVC,20070604,Large Growth,U.S. Equity,Other,No,19921102,VIGRX,Yes,20141024,Merged,Vanguard Growth Index Admiral,,"2,314,000,398.0000000000","49,019,018,824.7487000000",25,4 Stars,,,S&P 500 TR USD,,,,,
Fidelity® US Bond Index F,Fidelity Investments,FUBFX,F0000044II,20090924,Intermediate Core Bond,Taxable Bond,Other,No,20110504,FXNAX,Yes,20190426,Liquidated,,Fidelity® US Bond Index,"6,071,285,558.1900000000","48,477,617,228.7700000000",67,2 Stars,,Silver,BBgBarc US Agg Bond TR USD,1.9564290000," -0.0890000000",1.0300000000,3.0690000000,0.2310000000
Fidelity® US Bond Index Institutional,Fidelity Investments,FXSTX,F00000LZX2,20110504,Intermediate Core Bond,Taxable Bond,Inst,No,20110504,FXNAX,Yes,20181102,Merged,Fidelity® US Bond Index,Fidelity® US Bond Index Investor,"577,249,067.2000000000","48,477,617,228.7700000000",65,3 Stars,,,BBgBarc US Agg Bond TR USD,0.9473660000," -0.0910000000",1.0230000000,,
Fidelity® US Bond Index Investor,Fidelity Investments,FBIDX,FOUSA00CJV,19900308,Intermediate Core Bond,Taxable Bond,Inv,No,20110504,FXNAX,Yes,20181102,Merged,Fidelity® US Bond Index,Fidelity® US Bond Index Investor,"259,062,679.7700000000","48,477,617,228.7700000000",72,2 Stars,,,BBgBarc US Agg Bond TR USD,0.8418490000," -0.1950000000",1.0030000000,,
Fidelity® US Bond Index Premium,Fidelity Investments,FSITX,F00000LZX1,20110504,Intermediate Core Bond,Taxable Bond,Other,No,20110504,FXNAX,Yes,20181102,Merged,Fidelity® US Bond Index,Fidelity® US Bond Index Investor,"6,294,735,173.1500000000","48,477,617,228.7700000000",66,3 Stars,,,BBgBarc US Agg Bond TR USD,0.9381270000," -0.1000000000",1.0200000000,,
American Funds SMALLCAP World 529B,American Funds,,FOUSA02UYR,20020220,World Small/Mid Stock,International Equity,B,No,19900430,SMCWX,No,20170410,Merged,American Funds SMALLCAP World 529A,,"299,308.0000000000","48,269,220,835.0000000000",38,3 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
American Funds SMALLCAP World B,American Funds,,FOUSA00IXG,20000315,World Small/Mid Stock,International Equity,B,No,19900430,SMCWX,No,20170410,Merged,American Funds SMALLCAP World A,,"3,588,526.0000000000","48,269,220,835.0000000000",35,3 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
Vanguard Balanced Index Signal,Vanguard,VBASX,FOUSA05IXQ,20060901,Allocation--50% to 70% Equity,Allocation,Other,No,19921109,VBINX,No,20141024,Merged,Vanguard Balanced Index Adm,,"1,078,612,596.0000000000","45,124,244,094.0000000000",33,4 Stars,,,Morningstar Mod Tgt Risk TR USD,,,,,
American Funds New World 529B,American Funds,,FOUSA02UXQ,20020226,Diversified Emerging Mkts,International Equity,B,No,19990617,NEWFX,No,20170410,Merged,American Funds New World 529A,,"243,942.0000000000","43,663,194,911.0000000000",63,3 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
American Funds New World B,American Funds,,FOUSA00A6N,20000315,Diversified Emerging Mkts,International Equity,B,No,19990617,NEWFX,No,20170410,Merged,American Funds New World A,,"2,630,687.0000000000","43,663,194,911.0000000000",61,3 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
Oppenheimer Developing Markets B,Invesco,ODVBX,FOUSA00JQY,19961118,Diversified Emerging Mkts,International Equity,B,No,19961118,ODMAX,No,20180601,Merged,Oppenheimer Developing Markets A,,"1,846,290.0700000000","42,704,062,423.5900000000",32,3 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
Vanguard Dividend Appreciation Index Inv,Vanguard,,FOUSA05HIH,20060427,Large Blend,U.S. Equity,Inv,No,20060421,VIG,Yes,20191107,Liquidated,,Vanguard Dividend Appreciation Index Adm,"3,647,153.0000000000","42,168,057,073.5357000000",10,5 Stars,Average,Gold,S&P 500 TR USD,15.4643990000,1.6750000000,0.9030000000,11.4110000000,1.1780000000
Vanguard REIT Index Signal,Vanguard,VGRSX,FOUSA05JBK,20070604,Real Estate,Sector Equity,Other,No,19960513,VGSIX,Yes,20141024,Merged,Vanguard Real Estate Index Admiral,,"1,557,729,743.0000000000","37,710,373,852.0158000000",20,4 Stars,,,MSCI ACWI NR USD,,3.5420000000,0.7990000000,,
Fidelity® Series Investment Grade Bond F,Fidelity Investments,,F000002M45,20090626,Intermediate Core Bond,Taxable Bond,Inst,No,20081008,FSIGX,No,20170825,Merged,Fidelity® Series Investment Grade Bond,,"12,746,429,192.0000000000","35,981,075,554.0400000000",15,4 Stars,,,BBgBarc US Agg Bond TR USD,,0.4550000000,1.0000000000,,
JPMorgan Core Bond B,JPMorgan,OBOBX,FOUSA00IWN,19960826,Intermediate Core Bond,Taxable Bond,B,No,19910531,WOBDX,No,20150619,Liquidated,,,"17,315,448.0000000000","33,089,282,544.9700000000",91,1 Star,,,BBgBarc US Agg Bond TR USD,," -0.6160000000",0.8910000000,,
JPMorgan Equity Income B,JPMorgan,OGIBX,FOUSA00CG6,19940114,Large Value,U.S. Equity,B,No,19870702,HLIEX,No,20150619,Liquidated,,,"2,905,735.0000000000","31,528,479,651.9900000000",68,2 Stars,,,S&P 500 TR USD,,,,,
Fidelity® International Index Instl,Fidelity Investments,FSPNX,F00000MJRN,20110908,Foreign Large Blend,International Equity,Inst,No,20110908,FSPSX,Yes,20181102,Merged,Fidelity® International Index,,"962,467,793.5500000000","30,167,820,996.0700000000",40,3 Stars,Above Average,,MSCI ACWI Ex USA NR USD,,,,,
Fidelity® International Index Investor,Fidelity Investments,FSIIX,FOUSA00K3G,19971105,Foreign Large Blend,International Equity,Inv,No,20110908,FSPSX,Yes,20181102,Merged,Fidelity® International Index,,"576,747,349.0900000000","30,167,820,996.0700000000",44,3 Stars,Above Average,,MSCI ACWI Ex USA NR USD,,,,,
Fidelity® International Index Premium,Fidelity Investments,FSIVX,FOUSA05CL5,20051014,Foreign Large Blend,International Equity,Other,No,20110908,FSPSX,Yes,20181102,Merged,Fidelity® International Index,,"7,596,770,246.9400000000","30,167,820,996.0700000000",41,3 Stars,Above Average,,MSCI ACWI Ex USA NR USD,,,,,
Vanguard Mid Cap Index Signal,Vanguard,VMISX,FOUSA05IV9,20070330,Mid-Cap Blend,U.S. Equity,Other,No,19980521,VMCIX,Yes,20141024,Merged,Vanguard Mid Cap Index Admiral,,"3,869,266,827.0000000000","29,804,380,326.3240000000",37,4 Stars,,,S&P 500 TR USD,,,,,
Vanguard High Dividend Yield Index Inv,Vanguard,,FOUSA05J84,20061116,Large Value,U.S. Equity,Inv,No,20061110,VYM,Yes,20191107,Liquidated,,Vanguard High Dividend Yield Index Inv,"5,643,733.0000000000","29,055,131,628.6202000000",39,4 Stars,Below Average,Silver,S&P 500 TR USD,11.3339550000," -1.9140000000",0.8950000000,11.3140000000,0.8610000000
Vanguard Small Cap Index Signal,Vanguard,VSISX,FOUSA05IVA,20061215,Small Blend,U.S. Equity,Other,No,19601003,NAESX,Yes,20141024,Merged,Vanguard Small Cap Index Adm,,"3,609,983,771.0000000000","28,598,265,549.8029000000",19,4 Stars,,,S&P 500 TR USD,,,,,
Fidelity Advisor® Total Bond B,Fidelity Investments,,FOUSA0588R,20040616,Intermediate Core-Plus Bond,Taxable Bond,B,No,20021015,FTBFX,No,20160624,Merged,Fidelity Advisor® Total Bond A,,"2,743,905.0000000000","27,802,940,214.0600000000",74,1 Star,,,BBgBarc US Agg Bond TR USD,,,,,
Fidelity Advisor® New Insights B,Fidelity Investments,,FOUSA04AZ9,20030731,Large Growth,U.S. Equity,B,No,20030731,FINSX,No,20160624,Merged,Fidelity Advisor® New Insights A,,"74,166,416.0000000000","26,263,933,243.9300000000",74,2 Stars,,,S&P 500 TR USD,,,,,
Vanguard FTSE All-Wld ex-US Idx Inv,Vanguard,,FOUSA06B5A,20070308,Foreign Large Blend,International Equity,Inv,No,20070302,VEU,Yes,20191107,Liquidated,,Vanguard FTSE All-Wld ex-US Idx Admiral,"1,747,102.0000000000","25,412,719,531.9621000000",44,3 Stars,Below Average,Gold,MSCI ACWI Ex USA NR USD,7.9776650000," -0.0790000000",1.0000000000,11.5670000000,0.5780000000
Fidelity® Extended Market Index Investor,Fidelity Investments,FSEMX,FOUSA00HH1,19971105,Mid-Cap Blend,U.S. Equity,Inv,No,20110908,FSMAX,Yes,20181102,Merged,Fidelity® Extended Market Index,Fidelity® Extended Market Index Investor,"540,313,695.0500000000","25,030,282,023.9900000000",16,4 Stars,Low,,S&P 500 TR USD,,,,,
Fidelity® Extended Market Index Premium,Fidelity Investments,FSEVX,FOUSA05CL4,20051014,Mid-Cap Blend,U.S. Equity,Other,No,20110908,FSMAX,Yes,20181102,Merged,Fidelity® Extended Market Index,Fidelity® Extended Market Index Investor,"8,719,762,253.9900000000","25,030,282,023.9900000000",15,4 Stars,Low,,S&P 500 TR USD,,,,,
Nuveen High Yield Municipal Bond B,Nuveen,NHMBX,FOUSA00GY9,19990607,High Yield Muni,Municipal Bond,B,No,19990607,NHMRX,No,20140623,Merged,Nuveen High Yield Municipal Bond A,,"8,359,478.0000000000","23,822,678,026.7200000000",5,5 Stars,,,BBgBarc Municipal TR USD,,1.9980000000,1.6080000000,,
American Funds Tax-Exempt Bond B,American Funds,,FOUSA00JMI,20000315,Muni National Interm,Municipal Bond,B,No,19791003,AFTEX,No,20170410,Merged,American Funds Tax-Exempt Bond A,,"352,085.0000000000","23,578,103,378.0000000000",43,3 Stars,,,BBgBarc Municipal TR USD,,,,,
BlackRock Global Allocation Inv B,BlackRock,MBLOX,FOUSA00DT1,19890203,World Allocation,Allocation,B,No,19890203,MALOX,No,20171227,Merged,BlackRock Global Allocation Inv A,,,"23,497,877,196.0300000000",74,2 Stars,,,Morningstar Mod Tgt Risk TR USD,,,,,
American Funds New Economy 529B,American Funds,,FOUSA02UY5,20020219,Large Growth,U.S. Equity,B,No,19831201,ANEFX,No,20170410,Merged,American Funds New Economy 529A,,"105,619.0000000000","22,521,783,610.0000000000",89,2 Stars,,,S&P 500 TR USD,," -3.8150000000",0.9690000000,,
American Funds New Economy B,American Funds,,FOUSA00HK6,20000315,Large Growth,U.S. Equity,B,No,19831201,ANEFX,No,20170410,Merged,American Funds New Economy A,,"1,236,057.0000000000","22,521,783,610.0000000000",88,2 Stars,,,S&P 500 TR USD,," -3.7690000000",0.9690000000,,
American Funds Interm Bd Fd of Amer 529B,American Funds,,FOUSA02UXW,20020226,Short-Term Bond,Taxable Bond,B,No,19880219,AIBAX,No,20170410,Merged,American Funds Interm Bd Fd of Amer 529A,,"49,556.0000000000","22,429,680,750.0000000000",87,1 Star,,,BBgBarc US Agg Bond TR USD,," -1.1680000000",0.5600000000,,
American Funds Interm Bd Fd of Amer B,American Funds,,FOUSA00L1U,20000315,Short-Term Bond,Taxable Bond,B,No,19880219,AIBAX,No,20170410,Merged,American Funds Interm Bd Fd of Amer A,,"441,898.0000000000","22,429,680,750.0000000000",82,2 Stars,,,BBgBarc US Agg Bond TR USD,," -1.0740000000",0.5580000000,,
Vanguard Short-Term Bond Index Signal,Vanguard,VBSSX,FOUSA05J1B,20070330,Short-Term Bond,Taxable Bond,Other,No,19940301,VBISX,Yes,20141024,Merged,Vanguard Short-Term Bond Index Adm,,"4,823,371,491.0000000000","22,044,160,708.7100000000",70,2 Stars,,,BBgBarc US Agg Bond TR USD,,0.3200000000,0.3370000000,,
American Funds Global Balanced 529B,American Funds,,F00000LIUE,20110201,World Allocation,Allocation,B,No,20110201,RGBGX,No,20170410,Merged,American Funds Global Balanced 529A,,"28,431.0000000000","21,478,180,617.0000000000",62,3 Stars,,,Morningstar Mod Tgt Risk TR USD,,,,,
American Funds Global Balanced B,American Funds,,F00000LIU9,20110201,World Allocation,Allocation,B,No,20110201,RGBGX,No,20170410,Merged,American Funds Global Balanced A,,"304,864.0000000000","21,478,180,617.0000000000",59,3 Stars,,,Morningstar Mod Tgt Risk TR USD,,,,,
Fidelity® Series Emerging Markets F,Fidelity Investments,,F000002M4G,20090626,Diversified Emerging Mkts,International Equity,Inst,No,20081209,FEMSX,No,20170825,Merged,Fidelity® Series Emerging Markets Opps,,"9,466,356,157.0000000000","20,639,659,173.7400000000",25,4 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
Columbia Dividend Income B,Columbia,,FOUSA02VPH,20021125,Large Value,U.S. Equity,B,No,19980304,GSFTX,No,20170804,Liquidated,,,"2,731.0000000000","19,629,134,279.2100000000",14,4 Stars,,,S&P 500 TR USD,,,,,
Columbia Dividend Income I,Columbia,,F00000JTLV,20100927,Large Value,U.S. Equity,Inst,No,19980304,GSFTX,No,20170327,Merged,Columbia Dividend Income Inst3,,"112,374,826.0000000000","19,629,134,279.2100000000",7,5 Stars,,,S&P 500 TR USD,,,,,
Columbia Dividend Income T,Columbia,CDVWX,F00000JTLW,20100927,Large Value,U.S. Equity,T,No,19980304,GSFTX,No,20181214,Merged,Columbia Dividend Income A,Columbia Dividend Income Inst,"46,472.8100000000","19,629,134,279.2100000000",11,5 Stars,Above Average,,S&P 500 TR USD,,,,,
BlackRock Equity Dividend Inv B,BlackRock,MBDVX,FOUSA00DSU,19871125,Large Value,U.S. Equity,B,No,19881129,MADVX,No,20171227,Merged,BlackRock Equity Dividend Inv A,,,"19,323,307,628.1600000000",26,4 Stars,,,S&P 500 TR USD,,,,,
