Name,Firm Name,Ticker,SecId,Inception Date,Morningstar Category,US Category Group,Share Class Type,Oldest Share Class,Inception Date of Fund's Oldest Share Class,Ticker of Fund's Oldest Share Class,Index Fund,Obsolete Date,Obsolete Type,Merged Into Security,Research Flagship Fund Name,Net Assets - Share Class (mo-end) USD,Fund Size Comprehensive (mo-end) USD,Total Ret % Rank Cat 3Y mo-end (mo-end),Morningstar Rating 3Y (mo-end),Morningstar Sustainability Rating (mo-end),Morningstar Analyst Rating (day-end),Morningstar Category Primary Benchmark,Total Return (3Y - mo-end),Alpha Total (excess return) (3Y - mo-end) Cat Curr,Beta Total (excess return) (3Y - mo-end) Cat Curr,Standard Deviation Total (3Y - mo-end) Cat Curr,Sharpe Ratio Total Morningstar (3Y - mo-end) Cat Curr
Hartford Global Capital Appreciation F,Hartford Mutual Funds,HCTFX,F00000YLOF,20170228,World Large Stock,International Equity,Other,No,20050429,HCTYX,No,20181026,Merged,Hartford International Equity F,Hartford Global Capital Appreciation A,"50,521,758.0200000000","874,585,270.5400000000",73,,Below Average,,MSCI ACWI Ex USA NR USD,,,,,
Hartford Global Capital Appreciation I,Hartford Mutual Funds,HCTIX,FOUSA05HXW,20060831,World Large Stock,International Equity,Inst,No,20050429,HCTYX,No,20181026,Merged,Hartford International Equity I,Hartford Global Capital Appreciation A,"120,013,608.2000000000","874,585,270.5400000000",74,2 Stars,Below Average,,MSCI ACWI Ex USA NR USD,,,,,
Hartford Global Capital Appreciation R3,Hartford Mutual Funds,HCTRX,FOUSA05TWV,20061222,World Large Stock,International Equity,Retirement,No,20050429,HCTYX,No,20181026,Merged,Hartford International Equity R3,Hartford Global Capital Appreciation A,"22,287,650.2700000000","874,585,270.5400000000",80,2 Stars,Below Average,,MSCI ACWI Ex USA NR USD,,,,,
Hartford Global Capital Appreciation R4,Hartford Mutual Funds,HCTSX,FOUSA05TWW,20061222,World Large Stock,International Equity,Retirement,No,20050429,HCTYX,No,20181026,Merged,Hartford International Equity R4,Hartford Global Capital Appreciation A,"16,705,135.3200000000","874,585,270.5400000000",75,2 Stars,Below Average,,MSCI ACWI Ex USA NR USD,,,,,
Hartford Global Capital Appreciation R5,Hartford Mutual Funds,HCTTX,FOUSA05TWX,20061222,World Large Stock,International Equity,Retirement,No,20050429,HCTYX,No,20181026,Merged,Hartford International Equity R5,Hartford Global Capital Appreciation A,"314,506.3700000000","874,585,270.5400000000",74,2 Stars,Below Average,,MSCI ACWI Ex USA NR USD,,,,,
Hartford Global Capital Appreciation Y,Hartford Mutual Funds,HCTYX,FOUSA05BW7,20050429,World Large Stock,International Equity,Inst,Yes,20050429,HCTYX,No,20181026,Merged,Hartford International Equity Y,Hartford Global Capital Appreciation A,"16,501,925.4000000000","874,585,270.5400000000",74,2 Stars,Below Average,,MSCI ACWI Ex USA NR USD,,,,,
Deutsche Large Cap Value A,DWS Americas,,FOUSA00C3C,19880318,Large Value,U.S. Equity,A,Yes,19880318,,No,20161209,Merged,DWS CROCI US A,,"164,291,803.0000000000","872,823,357.0000000000",99,1 Star,,,S&P 500 TR USD,,,,,
Deutsche Large Cap Value B,DWS Americas,,FOUSA00E7M,19950911,Large Value,U.S. Equity,B,No,19880318,,No,20160211,Liquidated,,,"106,473.0000000000","872,823,357.0000000000",95,1 Star,,,S&P 500 TR USD,,,,,
Deutsche Large Cap Value C,DWS Americas,,FOUSA00EGL,19950911,Large Value,U.S. Equity,C,No,19880318,,No,20161209,Merged,DWS CROCI US C,,"17,185,742.0000000000","872,823,357.0000000000",100,1 Star,,,S&P 500 TR USD,,,,,
Deutsche Large Cap Value Institutional,DWS Americas,,FOUSA05B6Y,20000601,Large Value,U.S. Equity,Inst,No,19880318,,No,20161209,Merged,DWS CROCI US Inst,,"6,120,480.0000000000","872,823,357.0000000000",99,1 Star,,,S&P 500 TR USD,,,,,
Deutsche Large Cap Value R,DWS Americas,,F00000M8PS,20110301,Large Value,U.S. Equity,Retirement,No,19880318,,No,20161209,Merged,DWS CROCI US R,,"1,879,920.0000000000","872,823,357.0000000000",99,1 Star,,,S&P 500 TR USD,,,,,
Deutsche Large Cap Value S,DWS Americas,,FOUSA05B8O,20041220,Large Value,U.S. Equity,S,No,19880318,,No,20161209,Merged,DWS CROCI US S,,"683,345,412.0000000000","872,823,357.0000000000",99,1 Star,,,S&P 500 TR USD,,,,,
Putnam International Equity M,Putnam,,FOUSA00EXV,19941201,Foreign Large Blend,International Equity,M,No,19910228,POVSX,No,20191125,Merged,Putnam International Equity A,Putnam International Equity A,"8,622,758.4500000000","871,415,253.5200000000",79,2 Stars,Above Average,Neutral,MSCI ACWI Ex USA NR USD,6.3558640000," -1.7260000000",1.0320000000,12.3480000000,0.4270000000
Royce Opportunity K,Royce Investment Partners,ROFKX,FOUSA06SN1,20080515,Small Value,U.S. Equity,Retirement,No,19961119,RYPNX,No,20180413,Merged,Royce Opportunity Svc,Royce Opportunity Invmt,"7,795,863.0000000000","869,951,908.4700000000",18,4 Stars,,,S&P 500 TR USD,,,,,
